drug_use_freq,grade,sex,bmi,race4,drunk_driving,text_driving,carrying_weapon,suicide_attempt,quit_smoke,physical_fight,early_sex,screening_use,heavy_screen_use,sleeping_time,enough_sleep,smoking_status,binge_drinking,seat_belt,grades_school,smoke_age,alcohol_age,age_initial_alcohol,age_initial_smoking
No Drug Use,9th Grade,male,22.5303,All other Races,No,No,No,No,Never Smoke,Yes,Yes,8,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,9 or 10 years old,13 or 14 years old,13.5,9.5
No Drug Use,10th Grade,male,20.4414,White,No,Yes,No,No,Never Smoke,No,No,10,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
Light Dose,10th Grade,male,23.7438,White,No,Yes,No,No,No,Yes,No,3,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,13 or 14 years old,13.5,13.5
Light Dose,10th Grade,male,20.2994,White,No,Yes,No,No,No,No,No,1,No,5,No,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,15 or 16 years old,15 or 16 years old,15.5,15.5
No Drug Use,10th Grade,male,23.3029,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,11th Grade,male,14.736,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,male,23.1915,All other Races,No,No,No,No,Never Smoke,No,No,0,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,26.5069,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,1,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,11th Grade,male,29.12,White,No,No,No,No,Never Smoke,No,Yes,2.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,never,NA,15.5
No Drug Use,10th Grade,male,16.8757,White,No,Yes,No,No,Never Smoke,No,No,3,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,never,never,NA,NA
No Drug Use,10th Grade,male,NA,White,No,No,No,Yes,Never Smoke,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,male,24.2191,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,never,8 years old or younger,8,NA
No Drug Use,10th Grade,male,19.285,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
Light Dose,10th Grade,male,24.9114,White,Yes,Yes,No,Yes,Never Smoke,Yes,No,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,20.3171,White,No,No,No,No,Never Smoke,No,No,2,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,10th Grade,male,NA,White,Yes,No,No,No,Yes,No,No,3.5,No,7,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,never,9 or 10 years old,9.5,NA
No Drug Use,10th Grade,male,28.7948,All other Races,No,Yes,No,Yes,Never Smoke,No,No,2,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,10th Grade,male,42.0346,White,Yes,Yes,No,No,No,Yes,No,5,Yes,6,No,Light Smoker,Light Binge Drinking,Sometimes,Mostly C's,9 or 10 years old,9 or 10 years old,9.5,9.5
No Drug Use,10th Grade,male,22.7578,White,No,Yes,No,No,Yes,No,No,1.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,11 or 12 years old,11.5,15.5
No Drug Use,11th Grade,male,20.995,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,39.3743,All other Races,Yes,No,No,No,Never Smoke,No,No,8,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,male,18.2076,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,24.355,All other Races,No,Yes,No,Yes,Never Smoke,No,No,0.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,10th Grade,male,19.285,All other Races,No,Yes,No,Yes,Never Smoke,No,No,7,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,never,13 or 14 years old,13.5,NA
No Drug Use,11th Grade,male,24.5514,All other Races,No,Yes,No,No,No,Yes,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,15 or 16 years old,15.5,13.5
No Drug Use,10th Grade,male,23.8568,White,No,No,No,No,Never Smoke,No,No,3.5,No,7,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,male,23.4024,All other Races,No,Yes,No,No,Never Smoke,No,No,3,No,5,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
No Drug Use,10th Grade,male,33.0286,White,No,No,No,No,Never Smoke,Yes,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,11th Grade,male,26.1993,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,6,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,male,20.5802,White,No,No,No,No,Yes,No,No,0.5,No,7,No,Never Smoker,Light Binge Drinking,Never or Rarely,Mostly A's,never,13 or 14 years old,13.5,NA
Heavy Dose,10th Grade,male,21.2617,All other Races,No,Yes,Yes,No,Never Smoke,Yes,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,11 or 12 years old,11 or 12 years old,11.5,11.5
No Drug Use,11th Grade,male,17.1123,All other Races,Yes,No,No,No,Never Smoke,No,No,7,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,male,26.9983,All other Races,Yes,Yes,No,Yes,No,Yes,No,4,No,5,No,Never Smoker,No Binge Drinking,Never or Rarely,Not sure,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,10th Grade,male,20.3081,All other Races,No,No,No,No,Never Smoke,No,No,4,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,23.1936,All other Races,No,No,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,male,33.8619,White,No,Yes,Yes,No,No,No,No,0.5,No,6,No,Never Smoker,Light Binge Drinking,Never or Rarely,Mostly C's,never,11 or 12 years old,11.5,NA
No Drug Use,10th Grade,male,39.2786,All other Races,No,No,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,never,NA,13.5
No Drug Use,10th Grade,male,18.1864,White,Yes,No,No,No,No,No,No,2,No,5,No,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,10th Grade,male,20.7581,White,No,Yes,No,No,Yes,Yes,Yes,1,No,5,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,22.191,White,No,Yes,No,No,Never Smoke,No,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,8 years old or younger,8,NA
No Drug Use,10th Grade,male,33.1337,All other Races,No,No,No,No,No,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,10th Grade,male,21.6602,White,No,No,No,No,Never Smoke,Yes,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
Light Dose,10th Grade,male,30.7789,All other Races,No,Yes,No,No,No,Yes,Yes,4.5,No,6,No,Light Smoker,Heavy Binge Drinking,Sometimes,Mostly B's,8 years old or younger,13 or 14 years old,13.5,8
No Drug Use,10th Grade,male,19.5988,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,16.3218,All other Races,No,No,No,No,Never Smoke,No,No,8,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,male,26.7728,All other Races,No,No,No,No,Never Smoke,No,No,6,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,32.9012,All other Races,No,Yes,No,Yes,Never Smoke,Yes,Yes,7,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,9 or 10 years old,9.5,13.5
No Drug Use,9th Grade,male,22.821,White,No,No,No,Yes,Never Smoke,No,No,0.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,38.511,White,No,No,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,male,28.7948,Hispanic/Latino,No,No,No,No,No,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,9th Grade,male,21.2169,White,No,No,No,No,No,Yes,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,9 or 10 years old,11 or 12 years old,11.5,9.5
Light Dose,10th Grade,male,39.9853,All other Races,No,No,Yes,No,No,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly B's,8 years old or younger,8 years old or younger,8,8
No Drug Use,10th Grade,male,23.7994,White,No,Yes,No,No,Never Smoke,No,No,2,No,10,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,30.4836,All other Races,No,Yes,No,No,No,Yes,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,11th Grade,male,18.1864,White,No,No,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,21.6728,White,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,male,22.0789,White,No,No,No,No,Yes,No,No,0,No,6,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,28.1404,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,11th Grade,male,24.9198,White,No,No,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
No Drug Use,10th Grade,male,23.1915,White,No,No,No,Yes,Never Smoke,No,No,6,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,21.8395,All other Races,No,Yes,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,8 years old or younger,8,NA
No Drug Use,10th Grade,male,31.8313,All other Races,No,No,No,No,Never Smoke,No,No,4,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,23.7033,White,Yes,Yes,No,No,No,Yes,No,1.5,No,8,Yes,Light Smoker,Heavy Binge Drinking,Sometimes,Mostly B's,9 or 10 years old,8 years old or younger,8,9.5
No Drug Use,11th Grade,male,24.8555,Hispanic/Latino,No,No,No,No,Never Smoke,Yes,No,9,Yes,5,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,20.8576,White,No,Yes,No,No,Never Smoke,No,No,1,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,26.9158,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,26.6817,All other Races,No,Yes,No,Yes,Never Smoke,Yes,No,6,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,28.4452,All other Races,No,No,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,21.4759,All other Races,No,No,No,No,No,No,No,2.5,No,7,No,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,10th Grade,male,19.5527,White,No,Yes,No,No,Never Smoke,No,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,male,21.3601,All other Races,No,Yes,No,Yes,Never Smoke,No,No,2.5,No,6,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly B's,11 or 12 years old,8 years old or younger,8,11.5
No Drug Use,11th Grade,male,21.1293,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,11th Grade,male,37.9259,White,No,Yes,No,No,No,No,No,1.5,No,7,No,Never Smoker,Light Binge Drinking,Sometimes,Mostly B's,never,9 or 10 years old,9.5,NA
No Drug Use,11th Grade,male,25.9012,White,No,No,No,No,Never Smoke,No,No,0,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,19.2508,White,No,No,No,No,Never Smoke,Yes,No,3,No,6,No,Never Smoker,Heavy Binge Drinking,Most of the time or Always,Mostly Below C's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,21.6728,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,11th Grade,male,22.9584,White,No,Yes,No,Yes,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,18.6085,White,No,Yes,No,No,Never Smoke,No,No,8,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,18.9615,White,No,No,No,No,Never Smoke,No,No,10,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Heavy Dose,10th Grade,male,25.8437,Hispanic/Latino,Yes,Yes,Yes,Yes,No,Yes,Yes,0.5,No,4,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,8 years old or younger,8 years old or younger,8,8
Heavy Dose,10th Grade,male,31.661,White,No,Yes,Yes,No,No,Yes,No,0,No,7,No,Light Smoker,Light Binge Drinking,Never or Rarely,Mostly Below C's,13 or 14 years old,15 or 16 years old,15.5,13.5
Light Dose,11th Grade,male,20.7347,Black or African American,No,No,No,Yes,Yes,No,Yes,5,Yes,8,Yes,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,15 or 16 years old,15 or 16 years old,15.5,15.5
No Drug Use,10th Grade,male,20.4618,All other Races,No,Yes,No,No,Never Smoke,No,No,0.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,20.6594,All other Races,No,Yes,No,No,Never Smoke,No,No,5.5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,23.8726,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,25.0318,All other Races,No,Yes,No,Yes,Never Smoke,Yes,Yes,4,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
Light Dose,10th Grade,male,25.0058,White,No,No,No,No,Never Smoke,No,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,10th Grade,male,18.8339,All other Races,No,Yes,No,No,Never Smoke,No,No,4,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,10th Grade,male,21.4759,All other Races,No,No,No,Yes,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
Light Dose,10th Grade,male,22.3657,White,No,Yes,No,No,Never Smoke,Yes,Yes,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,10th Grade,male,23.3882,Hispanic/Latino,Yes,Yes,Yes,No,No,Yes,No,2,No,5,No,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,13 or 14 years old,13.5,NA
Light Dose,10th Grade,male,22.4298,White,No,Yes,Yes,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,15 or 16 years old,15.5,13.5
No Drug Use,10th Grade,male,19.8996,White,No,Yes,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,9 or 10 years old,9.5,NA
Light Dose,10th Grade,male,20.0417,White,No,Yes,Yes,No,No,Yes,No,3.5,No,8,Yes,Light Smoker,Light Binge Drinking,Never or Rarely,Mostly C's,9 or 10 years old,9 or 10 years old,9.5,9.5
No Drug Use,11th Grade,male,18.6437,All other Races,Yes,No,No,Yes,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,18.8757,White,No,No,No,No,Never Smoke,No,Yes,4.5,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,23.3242,White,No,No,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,22.9075,White,No,No,No,No,Never Smoke,Yes,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,30.0988,All other Races,No,No,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,8 years old or younger,never,NA,8
No Drug Use,10th Grade,male,21.2067,All other Races,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Heavy Dose,10th Grade,male,21.4746,White,Yes,Yes,No,No,No,Yes,No,0.5,No,7,No,Light Smoker,Heavy Binge Drinking,Most of the time or Always,Mostly C's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,10th Grade,male,36.5702,White,No,No,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,11th Grade,male,19.2244,White,No,No,No,No,Yes,No,No,4,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,9 or 10 years old,13 or 14 years old,13.5,9.5
No Drug Use,10th Grade,male,20.0417,White,No,Yes,No,No,Never Smoke,Yes,No,6,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,23.7994,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,11th Grade,male,19.6074,Black or African American,No,Yes,Yes,No,Never Smoke,Yes,Yes,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,9 or 10 years old,9.5,13.5
Light Dose,11th Grade,male,27.4671,White,No,Yes,No,No,Never Smoke,No,No,0.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,12th Grade,male,21.7006,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,21.8671,White,No,Yes,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,12th Grade,male,17.59,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,21.6602,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,12th Grade,male,21.9815,White,No,Yes,No,No,Yes,No,No,7,Yes,6,No,Light Smoker,Heavy Binge Drinking,Most of the time or Always,Mostly A's,17 years old or older,9 or 10 years old,9.5,17.5
No Drug Use,11th Grade,male,22.7578,White,No,Yes,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,12th Grade,male,22.0789,White,No,Yes,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,male,18.5106,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,2.5,No,9,Yes,Never Smoker,No Binge Drinking,Never or Rarely,Mostly C's,15 or 16 years old,15 or 16 years old,15.5,15.5
Light Dose,12th Grade,male,30.4836,White,No,Yes,No,No,No,Yes,No,6,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,17 years old or older,15 or 16 years old,15.5,17.5
No Drug Use,12th Grade,male,20.3171,White,No,No,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,22.7578,All other Races,No,No,No,No,Never Smoke,No,No,5.5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,26.5228,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,8,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,male,28.6327,All other Races,No,No,No,No,Never Smoke,No,Yes,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,11th Grade,male,20.3171,White,No,No,No,No,Never Smoke,No,No,0,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,11th Grade,male,25.759,White,No,No,No,No,Never Smoke,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,12th Grade,male,18.2866,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,Yes,3,No,6,No,Never Smoker,No Binge Drinking,Sometimes,Not sure,13 or 14 years old,8 years old or younger,8,13.5
No Drug Use,11th Grade,male,32.8787,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,11th Grade,male,24.097,All other Races,No,No,No,No,No,No,No,9,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,male,19.285,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,11 or 12 years old,11.5,NA
Heavy Dose,11th Grade,male,19.5988,White,Yes,Yes,No,No,No,Yes,Yes,1,No,6,No,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,12th Grade,male,26.8178,White,No,No,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,11th Grade,male,29.157,White,No,Yes,No,No,Never Smoke,No,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,never,NA,13.5
No Drug Use,11th Grade,male,25.0058,White,No,No,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,11th Grade,male,25.7701,White,No,Yes,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
Light Dose,11th Grade,male,13.7451,White,No,No,No,Yes,No,Yes,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,15 or 16 years old,never,NA,15.5
No Drug Use,10th Grade,male,17.415,White,No,Yes,No,No,Never Smoke,No,No,3,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,29.5291,White,No,No,No,Yes,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,10th Grade,male,25.5404,White,No,Yes,Yes,No,No,Yes,No,2.5,No,8,Yes,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly Below C's,11 or 12 years old,13 or 14 years old,13.5,11.5
